Student Country,Topic,Subtopic,Keywords,Type of Answer
3,3,4,353,1
2,3,4,353,0
3,3,4,353,0
4,3,4,353,1
3,3,4,353,0
3,3,4,353,0
3,3,4,353,1
3,3,4,353,0
3,3,4,350,0
3,4,0,300,0
3,4,0,300,1
3,4,0,300,0
3,4,0,300,1
2,4,0,300,0
3,4,0,300,0
3,4,0,300,1
3,4,0,300,0
3,4,0,300,0
3,4,0,300,1
3,4,0,300,0
3,4,0,300,0
3,4,0,300,1
3,4,0,300,0
3,4,0,300,0
3,4,0,300,1
3,4,0,300,0
3,4,0,300,1
3,4,0,300,1
1,4,0,300,1
2,4,0,300,0
5,4,0,300,0
5,4,0,300,0
5,4,0,300,0
5,4,0,300,0
3,4,0,300,0
3,4,0,300,1
2,4,0,300,1
2,4,0,300,0
1,4,0,300,1
3,4,0,300,0
3,4,0,300,0
3,4,0,300,0
3,4,0,300,0
3,4,0,300,0
3,4,0,300,1
3,4,0,300,0
3,4,0,300,0
3,4,0,300,0
3,4,0,300,0
3,4,0,300,1
3,4,0,300,1
3,4,0,300,1
3,4,0,300,1
1,4,0,300,1
2,4,0,300,0
3,4,0,300,0
3,4,0,300,1
3,4,0,300,0
2,4,0,300,0
2,4,0,300,0
2,4,0,300,0
3,4,0,300,0
3,4,0,300,1
3,4,0,300,0
3,4,0,300,0
3,4,0,300,0
3,4,0,300,0
3,4,0,300,0
3,4,0,300,1
3,4,0,300,0
2,4,0,300,0
3,4,0,300,0
3,4,0,300,1
3,4,0,300,0
3,4,0,300,0
1,4,0,300,1
2,4,0,300,1
2,4,0,300,1
5,4,0,300,0
3,4,0,300,0
3,4,0,300,1
2,4,0,300,1
2,4,0,300,0
3,4,0,300,0
3,4,0,300,1
3,4,0,300,1
3,4,0,300,1
3,4,0,300,0
3,4,0,300,0
3,4,0,300,0
3,4,0,300,0
3,4,0,300,1
3,4,0,300,0
3,4,0,300,0
1,4,0,300,0
1,4,0,300,0
5,4,0,300,1
3,4,0,300,0
3,4,0,300,0
2,4,0,300,0
2,4,0,300,0
4,4,0,300,1
3,4,0,300,0
3,4,0,300,0
3,4,0,300,1
3,4,0,300,0
3,4,0,300,0
3,4,0,300,0
3,4,0,300,0
3,4,0,300,1
3,4,0,300,1
3,4,0,300,1
3,4,0,300,1
3,4,0,300,1
1,4,0,300,1
5,4,0,300,0
5,4,0,300,0
3,4,0,300,0
3,4,0,300,0
2,4,0,300,0
2,4,0,300,1
2,4,0,300,0
2,4,0,300,1
2,4,0,300,0
1,4,0,300,0
4,4,0,300,0
3,4,0,300,0
3,4,0,300,0
3,4,0,300,0
3,4,0,300,0
3,4,0,300,0
3,4,0,300,1
3,4,0,300,0
3,4,0,300,1
3,4,0,300,1
3,4,0,300,1
3,4,0,300,0
2,4,0,300,1
5,4,0,300,0
3,4,0,300,0
2,4,0,300,0
2,4,0,300,1
5,4,0,300,0
5,4,0,300,0
3,4,0,300,0
3,4,0,300,0
3,4,0,300,0
2,4,0,300,1
2,4,0,300,1
2,4,0,300,0
2,4,0,300,0
3,4,0,300,1
3,4,0,300,1
3,4,0,300,0
3,4,0,300,1
3,4,0,300,1
3,4,0,300,1
3,4,0,300,0
3,4,0,300,0
3,4,0,300,0
3,4,0,300,0
3,4,0,300,0
3,4,0,300,0
3,4,0,300,1
3,4,0,300,0
1,4,0,300,1
1,4,0,300,0
1,4,0,300,1
3,4,0,300,0
5,4,0,300,0
3,4,0,300,0
2,4,0,300,1
2,4,0,300,0
2,4,0,300,1
3,4,0,300,0
3,4,0,300,0
3,4,0,300,1
3,4,0,300,0
3,4,0,300,1
3,4,0,300,1
3,4,0,300,0
3,4,0,300,0
3,4,0,300,1
3,4,0,300,0
3,4,0,300,1
3,4,0,300,1
3,4,0,300,1
3,4,0,300,1
3,4,0,300,1
3,4,0,300,1
5,4,0,300,1
5,4,0,300,1
5,4,0,300,0
2,4,0,300,0
2,4,0,300,1
5,4,0,300,0
2,7,16,145,0
3,7,16,145,0
3,7,16,145,1
3,7,16,145,1
3,7,16,145,1
1,7,16,145,1
0,7,16,145,1
0,7,16,145,0
3,7,16,145,1
3,7,16,145,1
3,7,16,145,1
3,7,16,145,1
3,7,16,145,0
3,7,16,145,1
3,7,16,145,0
3,7,16,145,0
3,7,16,145,0
3,7,16,331,1
2,7,16,61,0
2,7,16,61,0
3,7,16,61,1
3,7,16,61,1
3,7,16,61,0
3,7,16,61,1
2,7,16,61,1
1,7,16,61,0
0,7,16,61,1
0,7,16,61,0
0,7,16,61,0
2,7,16,59,0
3,7,16,59,1
3,7,16,59,1
1,7,16,59,0
3,7,16,190,1
3,7,16,190,1
3,7,16,190,0
3,7,16,190,0
3,7,16,190,1
3,7,16,190,0
3,7,16,190,0
3,7,16,190,0
3,7,16,190,1
0,7,16,190,1
0,7,16,190,1
2,7,16,188,0
3,7,16,188,0
3,7,16,188,1
1,7,16,188,1
2,7,16,189,1
3,7,16,189,0
1,7,16,189,1
3,7,16,189,0
2,7,16,58,0
3,7,16,58,0
3,7,16,58,0
3,7,16,58,1
3,7,16,58,1
3,7,16,58,1
3,7,16,58,1
3,7,16,58,0
1,7,16,58,0
0,7,16,58,0
0,7,16,58,1
3,7,16,58,0
3,7,16,58,1
3,7,16,58,1
3,7,16,58,0
2,7,16,58,0
1,7,16,58,1
1,7,16,58,1
0,7,16,58,1
0,7,16,58,0
0,7,16,58,0
0,7,16,58,0
2,7,16,57,0
3,7,16,57,1
3,7,16,57,0
1,7,16,57,0
2,7,16,57,0
3,7,16,57,1
3,7,16,57,1
1,7,16,57,1
2,7,16,57,0
3,7,16,57,1
3,7,16,57,1
3,7,16,57,1
3,7,16,57,0
3,7,16,57,1
2,7,16,57,1
1,7,16,57,1
0,7,16,57,1
0,7,16,57,1
0,7,16,57,0
2,7,16,330,0
3,7,16,330,1
3,7,16,330,0
3,7,16,330,1
3,7,16,330,0
0,7,16,330,1
2,7,16,201,1
3,7,16,201,0
3,7,16,201,0
3,7,16,201,0
3,7,16,201,1
3,7,16,201,0
3,7,16,201,1
3,7,16,201,1
3,7,16,201,0
3,7,16,201,0
3,7,16,201,0
2,7,16,201,0
1,7,16,201,1
2,7,16,187,0
2,7,16,187,0
3,7,16,187,0
3,7,16,187,1
3,7,16,187,0
3,7,16,187,0
2,7,16,187,1
3,7,16,187,1
2,7,16,196,0
3,7,16,196,0
3,7,16,196,1
3,7,16,196,0
3,7,16,196,1
3,7,16,196,0
3,7,16,196,0
1,7,16,196,1
0,7,16,196,0
0,7,16,196,0
0,7,16,196,0
2,7,16,199,0
3,7,16,199,0
1,7,16,199,0
3,7,16,197,1
1,7,16,197,1
2,7,16,198,1
3,7,16,198,1
3,7,16,198,0
3,7,16,198,1
3,7,16,198,1
3,7,16,198,1
3,7,16,198,1
3,7,16,198,1
3,7,16,198,0
3,7,16,198,0
3,7,16,198,1
0,7,16,198,1
3,3,4,347,0
1,3,4,347,1
1,3,4,347,0
3,3,4,347,1
3,3,4,347,0
3,3,4,347,0
3,3,4,347,0
3,3,4,347,1
3,3,4,347,0
2,3,4,347,1
2,3,4,347,0
3,3,4,347,1
3,3,4,347,1
3,3,4,347,1
1,3,4,347,0
2,3,4,345,1
1,3,4,345,0
1,3,4,345,0
4,3,4,345,0
3,3,4,345,0
7,3,4,345,0
3,3,4,345,1
3,3,4,345,1
1,3,4,345,0
1,3,4,345,0
1,3,4,345,0
2,3,4,344,1
1,3,4,344,0
3,3,4,344,1
3,3,4,344,1
3,3,4,344,0
3,3,4,344,0
3,3,4,344,0
7,3,4,344,0
1,3,4,344,0
3,3,4,263,1
1,3,4,263,0
3,3,4,263,0
3,3,4,263,0
3,3,4,263,0
3,3,4,263,0
3,2,5,293,0
3,2,5,293,0
3,2,5,293,0
3,2,5,293,1
3,2,5,293,1
7,2,5,293,0
3,3,4,263,1
2,3,4,263,0
3,3,4,263,0
1,3,4,263,0
3,3,4,263,0
3,3,4,263,0
3,3,4,263,1
3,3,4,263,1
7,3,4,263,0
3,3,4,263,0
3,3,4,263,0
1,3,4,263,0
1,3,4,263,0
2,3,19,103,0
2,3,19,103,0
2,3,19,103,0
2,3,19,103,0
2,3,19,103,0
3,3,19,103,0
2,3,19,103,1
2,3,19,103,1
2,3,19,103,1
7,3,19,103,1
2,3,19,316,1
7,3,19,316,1
3,3,19,316,1
3,9,17,153,1
3,9,17,153,0
1,9,17,153,1
1,9,17,153,0
1,9,17,153,0
3,9,17,153,0
3,9,17,153,1
3,2,5,163,0
3,2,5,163,1
3,2,5,163,0
3,2,5,163,0
3,2,5,163,1
3,2,5,125,1
3,2,5,125,1
3,2,5,125,0
3,2,5,125,1
7,2,5,125,1
3,2,5,165,1
3,2,5,165,0
3,2,5,165,1
3,2,5,165,0
3,2,5,165,1
3,2,5,163,1
3,2,5,163,0
2,2,5,163,1
7,2,5,163,1
3,2,5,163,1
3,2,5,293,0
7,2,5,293,1
3,2,5,293,1
3,2,5,164,1
3,2,5,164,1
3,2,5,164,1
7,2,5,164,0
7,2,5,164,0
3,2,5,164,1
3,2,5,163,1
3,2,5,163,1
2,2,5,163,0
7,2,5,163,1
3,2,5,163,1
3,2,5,163,0
7,2,5,163,1
7,2,5,163,1
3,2,5,163,1
3,2,5,163,1
7,2,5,163,1
3,2,5,163,0
2,3,19,291,0
3,3,19,291,1
0,13,22,288,1
0,13,22,288,1
0,13,22,288,0
3,13,22,288,0
3,13,22,288,0
3,13,22,288,1
3,13,22,288,0
3,13,22,288,0
3,13,22,288,0
3,13,22,288,1
3,13,22,288,0
3,13,22,288,1
3,13,22,288,0
3,13,22,288,1
3,13,22,288,1
3,13,22,288,1
3,13,22,288,0
1,13,22,288,0
1,13,22,288,0
1,13,22,288,0
3,13,22,204,0
3,13,22,204,1
3,13,22,204,0
1,13,22,204,1
1,13,22,204,0
1,13,22,204,0
1,13,22,204,1
0,13,22,288,1
0,13,22,288,1
0,13,22,288,0
0,13,22,288,0
3,13,22,288,1
3,13,22,288,0
3,13,22,288,1
3,13,22,288,0
3,13,22,288,0
3,13,22,288,0
3,13,22,288,1
1,13,22,288,0
1,13,22,288,1
0,13,22,202,1
3,13,22,202,1
3,13,22,202,1
3,13,22,202,1
3,13,22,202,1
3,13,22,202,1
3,13,22,202,0
3,13,22,202,1
1,13,22,202,0
1,13,22,202,0
0,13,22,270,0
0,13,22,270,0
3,13,22,270,0
3,13,22,270,0
0,13,22,270,0
1,13,22,270,1
3,13,22,270,0
3,13,22,270,1
3,13,22,270,1
3,13,22,270,0
3,13,22,270,0
3,13,22,270,1
3,13,22,270,0
3,13,22,270,0
1,13,22,270,0
0,13,22,271,1
0,13,22,271,0
0,13,22,271,1
3,13,22,271,0
0,13,22,271,0
1,13,22,271,0
3,13,22,271,1
3,13,22,271,1
3,13,22,271,0
3,13,22,271,1
1,13,22,271,0
1,13,22,271,0
0,13,22,271,1
0,13,22,271,0
3,13,22,271,1
3,13,22,271,0
3,13,22,271,1
3,13,22,271,1
3,13,22,271,0
3,13,22,271,0
3,13,22,271,1
3,13,22,271,1
2,13,22,271,0
1,13,22,271,0
1,13,22,271,1
0,13,22,110,0
0,13,22,110,1
0,13,22,110,1
3,13,22,110,1
3,13,22,110,0
3,13,22,110,1
3,13,22,110,1
3,13,22,110,1
3,13,22,110,1
3,13,22,110,1
3,13,22,110,0
1,13,22,110,1
2,13,22,110,1
1,13,22,110,0
0,13,22,109,1
3,13,22,109,1
3,13,22,109,0
0,13,22,109,1
3,13,22,109,1
3,13,22,109,1
3,13,22,109,0
3,13,22,109,1
3,13,22,109,0
3,13,22,109,1
3,13,22,109,1
3,13,22,109,1
3,13,22,109,0
3,13,22,109,0
2,13,22,109,1
1,13,22,109,1
0,13,22,251,1
0,13,22,251,1
0,13,22,251,0
3,13,22,251,0
0,13,22,251,0
1,13,22,251,0
3,13,22,251,0
3,13,22,251,0
3,13,22,251,1
3,13,22,251,0
3,13,22,251,0
3,13,22,251,0
3,13,22,251,0
0,13,22,209,0
0,13,22,209,1
0,13,22,209,1
0,13,22,209,0
1,13,22,209,1
3,13,22,209,0
3,13,22,209,1
3,13,22,209,1
3,13,22,209,0
3,13,22,209,0
3,13,22,209,1
3,13,22,209,0
1,13,22,209,0
1,13,22,209,0
0,13,22,209,0
0,13,22,209,0
0,13,22,209,1
3,13,22,209,1
3,13,22,209,1
3,13,22,209,1
3,13,22,209,0
3,13,22,209,1
3,13,22,209,0
3,13,22,209,0
3,13,22,209,1
3,13,22,209,1
3,13,22,209,0
0,13,22,209,0
0,13,22,209,1
3,13,22,209,1
3,13,22,209,0
3,13,22,209,0
3,13,22,209,1
3,13,22,209,1
3,13,22,209,1
3,13,22,209,1
3,13,22,209,0
1,13,22,209,1
0,13,22,108,1
3,13,22,108,1
3,13,22,108,1
3,13,22,108,0
3,13,22,108,0
3,13,22,108,1
3,13,22,108,1
3,13,22,108,0
3,13,22,108,1
3,13,22,108,0
3,13,22,108,1
3,13,22,108,1
3,13,22,108,1
1,13,22,108,0
0,13,22,205,0
3,13,22,205,1
3,13,22,205,0
3,13,22,205,0
3,13,22,205,0
3,13,22,205,0
3,13,22,205,0
1,13,22,205,1
1,13,22,205,0
1,13,22,205,1
2,6,11,356,0
3,6,11,356,0
3,6,11,356,0
3,6,11,356,0
3,6,11,356,0
3,6,11,356,0
3,6,11,356,1
0,13,22,313,0
0,13,22,313,1
0,13,22,313,1
0,13,22,313,0
0,13,22,313,1
3,13,22,313,0
3,13,22,313,1
3,13,22,313,1
1,13,22,313,0
3,13,22,313,1
3,13,22,313,1
3,13,22,313,0
3,13,22,313,1
3,13,22,313,1
3,13,22,313,1
3,13,22,313,0
3,13,22,313,1
3,13,22,313,0
1,13,22,313,0
0,13,22,34,0
3,13,22,34,0
3,13,22,34,0
3,13,22,34,1
3,13,22,34,1
1,13,22,34,1
1,13,22,34,1
0,13,22,318,0
0,13,22,318,0
3,13,22,318,0
0,13,22,318,0
3,13,22,318,1
3,13,22,318,1
3,13,22,318,0
3,13,22,318,0
3,13,22,318,1
3,13,22,318,1
3,13,22,318,1
3,13,22,318,0
1,13,22,318,0
1,13,22,318,0
2,13,22,318,0
1,13,22,318,0
1,13,22,318,0
1,13,22,318,0
0,13,22,319,0
0,13,22,319,1
0,13,22,319,0
0,13,22,319,1
3,13,22,319,1
3,13,22,319,0
3,13,22,319,0
3,13,22,319,1
3,13,22,319,1
3,13,22,319,1
3,13,22,319,1
3,13,22,319,1
3,13,22,319,0
3,13,22,319,1
3,13,22,319,1
3,13,22,319,1
2,13,22,319,1
3,13,22,319,1
1,13,22,319,1
1,13,22,319,1
0,13,22,172,0
0,13,22,172,1
0,13,22,172,0
0,13,22,172,1
3,13,22,172,1
3,13,22,172,0
3,13,22,172,1
3,13,22,172,0
3,13,22,172,1
3,13,22,172,1
3,13,22,172,1
3,13,22,172,1
3,13,22,172,0
1,13,22,172,1
2,13,22,172,1
1,7,14,358,0
1,7,14,358,0
1,7,14,358,0
3,7,14,358,1
3,7,14,358,1
3,7,14,358,1
2,7,14,358,1
2,7,14,358,1
1,7,14,358,0
1,7,14,358,0
1,7,14,358,0
1,7,14,358,0
1,7,14,358,1
1,7,14,358,0
1,7,14,358,0
3,7,14,304,1
1,7,14,304,1
1,7,14,304,1
3,7,14,304,1
3,7,14,304,0
3,7,14,304,0
3,7,14,304,1
1,7,14,304,1
0,7,14,304,1
3,7,14,304,1
1,7,14,304,1
1,7,14,304,1
1,7,14,304,0
1,7,14,304,1
3,7,14,304,0
3,7,14,304,1
3,7,14,304,1
3,7,14,304,1
1,7,14,304,0
1,7,14,304,1
2,7,14,133,1
1,7,14,133,0
1,7,14,133,0
3,7,14,133,1
3,7,14,133,1
3,7,14,133,1
3,7,14,133,0
3,7,14,133,0
1,7,14,133,0
1,7,14,133,0
1,7,14,133,0
1,7,14,133,0
3,7,14,133,0
3,7,14,133,0
2,7,14,133,1
1,7,14,133,1
1,7,14,133,0
1,7,14,133,1
3,7,14,133,0
3,7,14,133,1
3,7,14,133,1
3,7,14,133,0
3,7,14,133,0
2,7,14,133,0
1,7,14,133,1
3,7,14,133,1
1,7,14,133,0
1,7,14,133,0
3,7,14,133,0
3,7,14,133,0
3,7,14,133,0
3,7,14,133,1
3,7,14,133,0
3,7,14,133,1
2,7,14,133,1
1,7,14,133,0
1,7,14,133,0
0,7,14,133,1
1,7,14,133,1
3,7,14,133,0
3,7,14,133,0
1,7,14,133,0
1,7,14,133,0
1,7,14,133,0
1,7,14,133,0
1,7,14,133,0
0,7,14,133,1
3,7,14,133,0
3,7,14,133,0
1,7,14,133,0
3,7,14,133,1
3,7,14,133,1
3,7,14,133,1
3,7,14,133,1
1,7,14,133,0
3,7,14,133,0
1,7,14,133,0
0,7,14,133,1
3,7,14,133,0
1,7,14,133,0
3,7,14,133,1
3,7,14,133,1
3,7,14,133,1
3,7,14,133,1
1,7,14,133,0
1,7,14,133,0
1,7,14,133,1
1,7,14,133,1
1,7,14,133,0
3,7,14,133,0
3,7,14,133,1
3,7,14,133,0
1,7,14,133,0
0,7,14,311,1
3,7,14,311,1
1,7,14,311,0
1,7,14,311,1
3,7,14,311,0
3,7,14,311,1
3,7,14,311,1
3,7,14,311,1
3,7,14,311,0
3,7,14,311,0
1,7,14,311,0
1,7,14,311,0
1,7,14,311,0
1,7,14,132,0
1,7,14,132,1
3,7,14,132,0
3,7,14,132,0
3,7,14,132,0
1,7,14,132,1
3,7,14,50,1
3,7,14,50,1
3,7,14,50,1
3,7,14,50,1
3,7,14,50,1
3,7,14,50,1
3,7,14,50,1
2,7,14,50,0
1,7,14,50,1
3,7,14,50,1
1,7,14,50,1
1,7,14,50,0
3,7,14,51,1
1,7,14,51,0
1,7,14,51,0
1,7,14,51,1
3,7,14,51,1
3,7,14,51,1
3,7,14,51,1
3,7,14,51,0
3,7,14,51,0
2,7,14,51,1
1,7,14,51,0
1,7,14,51,1
0,7,14,359,1
1,7,14,359,1
1,7,14,359,0
1,7,14,359,1
3,7,14,359,1
3,7,14,359,0
2,7,14,359,1
1,7,14,359,1
1,7,14,359,0
3,7,14,304,1
1,7,14,304,1
1,7,14,304,0
2,7,14,304,1
1,7,14,304,0
1,7,14,304,1
1,7,14,304,0
3,7,14,304,1
1,7,14,304,0
1,7,14,304,1
0,7,14,133,0
0,7,14,133,1
1,7,14,133,0
1,7,14,133,0
1,7,14,133,0
1,7,14,133,1
3,7,14,133,1
3,7,14,133,0
2,7,14,133,0
3,7,14,133,1
1,7,14,133,0
1,7,14,133,0
0,7,14,133,0
3,7,14,133,1
1,7,14,133,1
1,7,14,133,0
1,7,14,133,0
1,7,14,133,1
3,7,14,133,1
3,7,14,133,1
3,7,14,133,1
3,7,14,133,0
3,7,14,133,0
1,7,14,133,0
1,7,14,133,0
1,7,14,133,1
1,7,14,133,0
3,7,14,133,0
3,7,14,133,0
3,7,14,133,1
3,7,14,133,0
3,7,14,133,0
3,7,14,133,0
3,7,14,133,0
1,7,14,133,0
1,7,14,133,1
1,7,14,133,1
1,7,14,133,0
3,7,14,133,0
3,7,14,133,0
1,7,14,133,0
1,7,14,133,0
3,7,14,133,0
1,7,14,133,0
0,7,14,133,1
3,7,14,133,0
1,7,14,133,1
1,7,14,133,1
3,7,14,133,1
3,7,14,133,1
3,7,14,133,0
3,7,14,133,1
3,7,14,133,1
3,7,14,133,1
3,7,14,133,0
3,7,14,133,1
2,7,14,133,1
1,7,14,133,0
1,7,14,133,1
1,7,14,133,1
0,7,14,132,1
3,7,14,132,1
1,7,14,132,0
3,7,14,132,0
3,7,14,132,1
3,7,14,132,1
3,7,14,132,1
3,7,14,132,0
3,7,14,132,1
2,7,14,132,0
1,7,14,132,1
1,7,14,132,1
1,7,14,132,0
1,7,14,132,1
3,7,14,132,1
3,7,14,132,1
3,7,14,132,1
3,7,14,132,0
3,7,14,132,1
2,7,14,132,1
1,7,14,132,1
3,7,14,132,1
1,7,14,132,1
1,7,14,132,1
2,7,14,50,1
3,7,14,50,1
3,7,14,50,1
1,7,14,50,0
1,7,14,50,0
3,7,14,50,1
3,7,14,50,0
2,7,14,50,1
1,7,14,50,0
5,7,14,50,0
1,7,14,305,0
1,3,4,274,0
4,3,4,274,1
3,3,4,274,1
3,3,4,274,1
3,3,4,274,0
3,3,4,274,1
3,3,4,274,0
3,3,4,274,0
1,3,4,274,0
1,3,4,274,1
1,3,4,274,0
3,3,4,273,1
3,3,4,273,0
3,3,4,273,0
3,3,4,273,0
3,3,4,273,0
3,3,4,273,1
1,3,4,273,0
2,3,4,185,0
2,3,4,185,0
3,3,4,185,0
1,3,4,185,0
1,3,4,185,0
4,3,4,185,1
3,3,4,185,0
3,3,4,185,1
3,3,4,185,0
3,3,4,185,1
1,3,4,185,0
1,3,4,185,0
1,3,4,183,0
3,3,4,183,0
3,3,4,183,1
3,3,4,183,1
2,3,4,183,1
1,3,4,183,0
1,3,4,183,0
3,3,4,349,1
2,3,4,349,1
1,3,4,349,0
3,3,4,349,1
3,3,4,349,0
3,3,4,349,1
3,3,4,349,1
1,3,4,349,0
1,3,4,349,0
2,3,19,103,0
2,3,19,103,0
2,3,19,103,0
2,3,19,103,0
2,3,19,103,0
2,3,19,121,0
2,3,19,121,0
2,3,19,121,1
3,3,19,121,0
3,3,19,121,0
2,3,19,121,1
2,3,19,121,1
3,3,19,121,0
2,3,19,106,0
2,3,19,106,1
2,3,19,106,0
3,3,19,106,0
2,3,19,106,1
2,3,19,106,1
2,3,19,106,1
1,3,19,106,0
3,3,19,106,1
2,3,19,106,1
3,3,19,106,1
2,3,19,106,1
2,3,19,106,0
2,3,19,106,0
1,3,19,106,0
2,3,19,106,0
2,3,19,106,0
2,3,19,106,0
2,3,19,106,0
2,3,19,106,0
3,3,19,106,0
2,3,19,106,1
2,3,19,106,0
2,3,19,106,0
2,3,19,106,0
2,3,19,106,0
2,3,19,106,0
2,3,19,106,0
2,3,19,106,0
2,3,19,106,0
2,3,19,106,1
2,3,19,106,1
2,3,19,106,1
2,3,19,106,0
3,3,19,106,0
3,3,19,106,1
2,3,19,103,0
2,3,19,103,0
2,3,19,103,0
3,3,19,103,1
2,3,19,103,0
3,3,19,103,0
2,3,19,103,0
2,3,19,103,0
2,3,19,103,1
2,3,19,103,1
2,3,19,103,0
2,3,19,30,0
2,3,19,30,0
2,3,19,30,0
2,3,19,30,0
2,3,19,30,0
2,3,19,107,0
2,3,19,107,0
2,3,19,107,1
3,3,19,107,0
2,3,19,107,0
2,3,19,107,1
2,3,19,107,1
2,3,19,107,0
2,3,19,107,0
2,3,19,107,0
2,3,19,107,0
2,3,19,107,0
7,3,19,107,0
2,3,19,107,0
2,3,19,107,0
2,3,19,107,0
2,3,19,107,0
2,3,19,107,0
2,3,19,107,0
2,3,19,107,0
2,3,19,107,0
3,3,19,107,0
2,3,19,107,0
3,3,19,107,1
2,3,19,107,1
2,3,19,107,0
2,3,19,107,1
2,3,19,107,1
2,3,19,107,0
2,3,19,107,0
1,3,4,347,0
1,3,4,347,0
3,3,4,347,0
3,3,4,347,0
3,3,4,347,1
3,3,4,347,1
3,3,4,347,1
3,3,4,347,0
3,3,4,347,0
3,3,4,347,0
3,3,4,347,0
2,3,4,347,0
1,3,4,347,1
3,3,4,347,0
3,3,4,347,0
3,3,4,347,1
3,3,4,347,1
3,3,4,347,1
3,3,4,347,1
2,3,4,261,1
3,3,4,261,0
3,3,4,261,1
3,3,4,261,0
3,3,4,261,1
3,3,4,261,0
3,3,4,261,0
1,3,4,261,0
1,3,4,261,1
1,3,4,261,0
4,3,4,261,1
3,3,4,261,1
3,3,4,261,0
3,3,4,261,0
3,3,4,261,0
7,3,4,261,0
3,3,4,261,0
3,3,4,261,0
1,3,4,261,1
1,3,4,261,0
2,3,4,184,1
2,3,4,184,0
1,3,4,184,0
3,3,4,184,1
3,3,4,184,1
3,3,4,184,0
3,3,4,184,0
3,3,4,184,0
3,3,4,184,0
2,3,4,184,0
7,3,4,184,0
2,3,4,184,0
